"","trees","specie","region","treatment","n_tree","i_L","i_U","t50_L","t50_U","delta_i","delta_t50"
"86","OC38","O","C","3","8",0.277767979601763,0.379381270122146,25.3725919225129,26.3387510047223,0.101613290520383,0.966159082209341
"87","OC39","O","C","3","9",0.397911518093419,0.116094294967999,23.0247283314169,22.2879469899286,-0.28181722312542,-0.7367813414883
"88","OP01","O","P","0","1",0.700912763020664,0.727352467549219,17.955440825527,18.1851108101436,0.0264397045285557,0.229669984616571
"89","OP011","O","P","0","11",0.180935488032176,0.133988328815853,26.5672286935357,25.1637958092278,-0.0469471592163233,-1.40343288430789
"90","OP012","O","P","0","12",0.300626087959304,0.227371905651432,32.327465667532,36.7233782863265,-0.0732541823078712,4.39591261879447
"91","OP015","O","P","0","15",0.0769245490951692,0.0953544596246916,27.2409715753254,34.6840361096307,0.0184299105295224,7.4430645343053
"92","OP02","O","P","0","2",0.266654714675242,0.250877307772191,40.3982010430373,39.6947897363342,-0.0157774069030507,-0.703411306703046
"93","OP04","O","P","0","4",0.245964710110221,0.288259800396699,20.8368489783955,22.7699179188216,0.0422950902864778,1.93306894042612
"94","OP05","O","P","0","5",0.0470804808321321,0.146330086280023,-1.02160703984869,43.8164330761178,0.0992496054478912,44.8380401159665
"95","OP06","O","P","0","6",0.490010772065515,0.414650083259452,22.2148836161476,24.4009515643356,-0.0753606888060639,2.18606794818799
"96","OP07","O","P","0","7",0.157250018380141,0.070177699460123,19.352597288925,19.0766643605289,-0.0870723189200181,-0.275932928396056
"97","OP08","O","P","0","8",0.442009262764565,0.404341805390637,52.7452948237751,53.1947286210181,-0.0376674573739273,0.449433797242953
"98","OP09","O","P","0","9",0.187875912346613,0.491941638256904,34.4830313993794,37.6416425683617,0.304065725910291,3.15861116898231
"99","OP111","O","P","1","11",0.158452732624513,0.38195862115854,36.2178544199905,42.0694110824055,0.223505888534026,5.85155666241497
"100","OP113","O","P","1","13",0.205157208455811,0.117322026745631,25.5988084589035,42.296592631167,-0.0878351817101801,16.6977841722635
"101","OP115","O","P","1","15",0.104857776661089,0.259556491376096,35.7975646878817,49.3195689284268,0.154698714715007,13.5220042405451
"102","OP12","O","P","1","2",0.0813694384500204,0.0186920404345576,18.6260915629672,-73.0227233272662,-0.0626773980154628,-91.6488148902335
"103","OP18","O","P","1","8",0.209593090161115,0.331594164230526,45.7631311966148,49.3701169950783,0.122001074069411,3.60698579846358
"104","OP210","O","P","2","10",0.720937538593708,0.617680867596053,20.8638264494607,22.057512922877,-0.103256670997655,1.19368647341625
"105","OP211","O","P","2","11",1.43603510199943,0.104546070079325,36.2557938729118,30.0040349355093,-1.33148903192011,-6.25175893740249
"106","OP213","O","P","2","13",0.339622078625361,0.337580839058346,18.5593562287223,19.7072846467797,-0.00204123956701491,1.1479284180574
"107","OP214","O","P","2","14",0.73138957957306,0.183430656639528,17.9914871699841,23.2126465795388,-0.547958922933532,5.22115940955471
"108","OP215","O","P","2","15",0.140216397014021,0.115935992953396,26.6854878995249,31.6737623566223,-0.0242804040606248,4.98827445709736
"109","OP22","O","P","2","2",0.160159808723114,0.131335351786444,33.2026211756245,49.6352684286546,-0.0288244569366694,16.4326472530301
"110","OP23","O","P","2","3",1.30363700986966,0.219026571396469,23.5949260677441,23.9174455708825,-1.08461043847319,0.32251950313843
"111","OP25","O","P","2","5",0.397038707113944,0.161506212592807,30.4178273508096,27.6993134801682,-0.235532494521137,-2.71851387064146
"112","OP26","O","P","2","6",0.405871101157395,0.40805730234238,43.4927232673188,45.4462199208226,0.00218620118498447,1.95349665350388
"113","OP28","O","P","2","8",0.65328864333184,0.159639945227606,20.3855629941887,31.2128735939467,-0.493648698104233,10.827310599758
"114","OP31","O","P","3","1",0.07165488635967,0.156783207076996,24.9014193220703,41.3163990039778,0.0851283207173256,16.4149796819076
"115","OP310","O","P","3","10",0.116585841936118,0.112166664117321,37.6785806226789,32.8856537150256,-0.00441917781879711,-4.79292690765323
"116","OP311","O","P","3","11",0.158069588480572,0.148569447522863,30.8131307243436,30.2766457838642,-0.00950014095770974,-0.536484940479383
"117","OP314","O","P","3","14",0.44282136695314,0.502191543249596,31.4442627908997,32.0803395543799,0.0593701762964561,0.636076763480183
"118","OP32","O","P","3","2",0.325736699738025,0.349530168076019,33.7891807474457,33.9422620678509,0.0237934683379944,0.153081320405256
